Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Label
"{'y': 0.009904486, 'x': 0.48494482, 'confidence': 0.05434217}","{'y': 0.004666012, 'x': 0.424814, 'confidence': 0.041076776}","{'y': 0.0086537, 'x': 0.54933876, 'confidence': 0.066655}","{'y': 0.010127102, 'x': 0.40900034, 'confidence': 0.08277618}","{'y': 0.021374341, 'x': 0.5660378, 'confidence': 0.15422405}","{'y': 0.15006702, 'x': 0.33036497, 'confidence': 0.29358646}","{'y': 0.22543266, 'x': 0.6655393, 'confidence': 0.62537396}","{'y': 0.23626053, 'x': 0.31508726, 'confidence': 0.07559805}","{'y': 0.24103768, 'x': 0.639165, 'confidence': 0.12455185}","{'y': 0.084566176, 'x': 0.4498729, 'confidence': 0.04621156}","{'y': 0.14871053, 'x': 0.48714602, 'confidence': 0.059602324}","{'y': 0.9342959, 'x': 0.45543578, 'confidence': 0.2655643}","{'y': 0.91837025, 'x': 0.6628881, 'confidence': 0.16845664}","{'y': 0.96754223, 'x': 0.4307962, 'confidence': 0.06979378}","{'y': 0.9867075, 'x': 0.8639796, 'confidence': 0.047609434}","{'y': 0.98288184, 'x': 0.4255394, 'confidence': 0.042055182}","{'y': 0.98382545, 'x': 0.93231297, 'confidence': 0.06913287}",0
"{'y': 0.024163768, 'x': 0.4827917, 'confidence': 0.06988835}","{'y': 0.026380656, 'x': 0.39712837, 'confidence': 0.027284864}","{'y': 0.033536978, 'x': 0.46550977, 'confidence': 0.03149305}","{'y': 0.028778724, 'x': 0.35737675, 'confidence': 0.032777924}","{'y': 0.032161996, 'x': 0.49216482, 'confidence': 0.062409565}","{'y': 0.28601223, 'x': 0.29732716, 'confidence': 0.39682493}","{'y': 0.19714898, 'x': 0.6152961, 'confidence': 0.06969576}","{'y': 0.28170305, 'x': 0.27534378, 'confidence': 0.1583097}","{'y': 0.35619387, 'x': 0.63658386, 'confidence': 0.035676908}","{'y': 0.24898984, 'x': 0.49897894, 'confidence': 0.030792851}","{'y': 0.23302716, 'x': 0.5672008, 'confidence': 0.03406752}","{'y': 0.8887088, 'x': 0.42240342, 'confidence': 0.24767654}","{'y': 0.8845456, 'x': 0.6357489, 'confidence': 0.278341}","{'y': 0.994845, 'x': 0.33681288, 'confidence': 0.08026351}","{'y': 0.95702505, 'x': 0.68026906, 'confidence': 0.09703948}","{'y': 0.9875692, 'x': 0.34386724, 'confidence': 0.053647153}","{'y': 0.98179245, 'x': 0.6489333, 'confidence': 0.077269495}",0
"{'y': 0.023017466, 'x': 0.46906626, 'confidence': 0.045195207}","{'y': 0.028785495, 'x': 0.40211552, 'confidence': 0.016822202}","{'y': 0.037200265, 'x': 0.4295534, 'confidence': 0.022133471}","{'y': 0.024861677, 'x': 0.3520766, 'confidence': 0.027384369}","{'y': 0.027210822, 'x': 0.4655102, 'confidence': 0.045724805}","{'y': 0.29294518, 'x': 0.26812422, 'confidence': 0.28492832}","{'y': 0.17127545, 'x': 0.5745757, 'confidence': 0.073928915}","{'y': 0.28752735, 'x': 0.26538438, 'confidence': 0.1411691}","{'y': 0.47879153, 'x': 0.65383077, 'confidence': 0.05665993}","{'y': 0.52909625, 'x': 0.49330005, 'confidence': 0.014278303}","{'y': 0.5570088, 'x': 0.6343075, 'confidence': 0.050541345}","{'y': 0.6925153, 'x': 0.43238118, 'confidence': 0.115452446}","{'y': 0.6882763, 'x': 0.58940196, 'confidence': 0.11175112}","{'y': 0.88450646, 'x': 0.42602125, 'confidence': 0.11756554}","{'y': 0.86284304, 'x': 0.6526359, 'confidence': 0.16376677}","{'y': 0.9704669, 'x': 0.3886118, 'confidence': 0.09601946}","{'y': 0.98009074, 'x': 0.7102332, 'confidence': 0.059691787}",0
"{'y': 0.07425575, 'x': 0.50688154, 'confidence': 0.36772934}","{'y': 0.039124873, 'x': 0.47795975, 'confidence': 0.26830044}","{'y': 0.046703417, 'x': 0.5377925, 'confidence': 0.37726644}","{'y': 0.07180921, 'x': 0.42121223, 'confidence': 0.6782261}","{'y': 0.08505428, 'x': 0.5900058, 'confidence': 0.4991676}","{'y': 0.33011997, 'x': 0.32546312, 'confidence': 0.7012595}","{'y': 0.34891462, 'x': 0.65856, 'confidence': 0.89698035}","{'y': 0.75556326, 'x': 0.27402267, 'confidence': 0.46829244}","{'y': 0.7591106, 'x': 0.7355815, 'confidence': 0.5899602}","{'y': 0.9536495, 'x': 0.2685917, 'confidence': 0.092748426}","{'y': 0.98887247, 'x': 0.7216022, 'confidence': 0.088942}","{'y': 0.9311726, 'x': 0.38635635, 'confidence': 0.13990706}","{'y': 0.93187916, 'x': 0.5849548, 'confidence': 0.11937413}","{'y': 0.986438, 'x': 0.37872523, 'confidence': 0.05306534}","{'y': 0.99061924, 'x': 0.5650391, 'confidence': 0.05931075}","{'y': 0.9805503, 'x': 0.25635675, 'confidence': 0.05965542}","{'y': 0.9799858, 'x': 0.48982602, 'confidence': 0.05592601}",0
"{'y': 0.110913195, 'x': 0.5172061, 'confidence': 0.28533384}","{'y': 0.082593545, 'x': 0.50995815, 'confidence': 0.25277296}","{'y': 0.08272476, 'x': 0.52112854, 'confidence': 0.2093702}","{'y': 0.08176584, 'x': 0.49256423, 'confidence': 0.31027186}","{'y': 0.08736002, 'x': 0.5252556, 'confidence': 0.245579}","{'y': 0.3568838, 'x': 0.6504477, 'confidence': 0.5647645}","{'y': 0.3256564, 'x': 0.37828645, 'confidence': 0.6774211}","{'y': 0.6771573, 'x': 0.70440423, 'confidence': 0.41914174}","{'y': 0.604356, 'x': 0.28421545, 'confidence': 0.47432247}","{'y': 0.906213, 'x': 0.69928336, 'confidence': 0.09106966}","{'y': 0.9674849, 'x': 0.2515478, 'confidence': 0.18169075}","{'y': 0.89805096, 'x': 0.552579, 'confidence': 0.23031521}","{'y': 0.8806221, 'x': 0.41101333, 'confidence': 0.21120526}","{'y': 0.96668977, 'x': 0.484191, 'confidence': 0.05393346}","{'y': 0.99181753, 'x': 0.45107976, 'confidence': 0.04188541}","{'y': 0.9823078, 'x': 0.54355794, 'confidence': 0.058089245}","{'y': 0.9807713, 'x': 0.49364817, 'confidence': 0.07064174}",0
"{'y': 0.091996714, 'x': 0.48483214, 'confidence': 0.3047612}","{'y': 0.06462458, 'x': 0.4957003, 'confidence': 0.26896247}","{'y': 0.062048633, 'x': 0.48480648, 'confidence': 0.24286747}","{'y': 0.07582938, 'x': 0.5126438, 'confidence': 0.42133704}","{'y': 0.07062966, 'x': 0.4860809, 'confidence': 0.24227412}","{'y': 0.34470508, 'x': 0.3583874, 'confidence': 0.46421418}","{'y': 0.3354563, 'x': 0.6273866, 'confidence': 0.51869977}","{'y': 0.6496284, 'x': 0.70596683, 'confidence': 0.25920722}","{'y': 0.7436158, 'x': 0.28195477, 'confidence': 0.36449414}","{'y': 0.9453046, 'x': 0.5164144, 'confidence': 0.053015023}","{'y': 0.9599155, 'x': 0.48221824, 'confidence': 0.06355266}","{'y': 0.92573994, 'x': 0.5425302, 'confidence': 0.17815073}","{'y': 0.92921925, 'x': 0.513815, 'confidence': 0.14868547}","{'y': 0.98749095, 'x': 0.5077105, 'confidence': 0.047728993}","{'y': 0.9932556, 'x': 0.5786907, 'confidence': 0.03770688}","{'y': 0.9838705, 'x': 0.45187762, 'confidence': 0.04942694}","{'y': 0.9898642, 'x': 0.5353702, 'confidence': 0.05616697}",0
"{'y': 0.09592772, 'x': 0.54493093, 'confidence': 0.18245101}","{'y': 0.05515359, 'x': 0.52995926, 'confidence': 0.18879363}","{'y': 0.05577497, 'x': 0.5527783, 'confidence': 0.14384146}","{'y': 0.072901115, 'x': 0.49500778, 'confidence': 0.33869842}","{'y': 0.07267112, 'x': 0.56301266, 'confidence': 0.2945005}","{'y': 0.36851364, 'x': 0.64173996, 'confidence': 0.48985288}","{'y': 0.31046376, 'x': 0.42337367, 'confidence': 0.3094493}","{'y': 0.72213227, 'x': 0.6976619, 'confidence': 0.23110889}","{'y': 0.62328875, 'x': 0.2611916, 'confidence': 0.31324992}","{'y': 0.9055456, 'x': 0.6339722, 'confidence': 0.04914333}","{'y': 0.90304774, 'x': 0.28505412, 'confidence': 0.042115964}","{'y': 0.9470785, 'x': 0.54445237, 'confidence': 0.16031589}","{'y': 0.9092966, 'x': 0.4043986, 'confidence': 0.11136889}","{'y': 0.97000825, 'x': 0.48491803, 'confidence': 0.065914765}","{'y': 0.9928019, 'x': 0.43812495, 'confidence': 0.04466656}","{'y': 0.9797681, 'x': 0.51254827, 'confidence': 0.053112414}","{'y': 0.98160756, 'x': 0.49514756, 'confidence': 0.07977425}",0
"{'y': 0.09328959, 'x': 0.46025568, 'confidence': 0.1866676}","{'y': 0.054566633, 'x': 0.46560064, 'confidence': 0.2660839}","{'y': 0.056157365, 'x': 0.45803273, 'confidence': 0.17641675}","{'y': 0.07199508, 'x': 0.4799102, 'confidence': 0.31072006}","{'y': 0.071338065, 'x': 0.45507216, 'confidence': 0.21222176}","{'y': 0.3309764, 'x': 0.47638014, 'confidence': 0.18188763}","{'y': 0.3350623, 'x': 0.5178834, 'confidence': 0.22047307}","{'y': 0.7716859, 'x': 0.30056152, 'confidence': 0.22500575}","{'y': 0.6343246, 'x': 0.733553, 'confidence': 0.34982467}","{'y': 0.89228356, 'x': 0.5770684, 'confidence': 0.04580033}","{'y': 0.98709273, 'x': 0.31648597, 'confidence': 0.12104218}","{'y': 0.911629, 'x': 0.61033046, 'confidence': 0.10846482}","{'y': 0.931643, 'x': 0.61635184, 'confidence': 0.0884152}","{'y': 0.9651654, 'x': 0.6417571, 'confidence': 0.068242945}","{'y': 0.9891022, 'x': 0.7606984, 'confidence': 0.06086864}","{'y': 0.9851478, 'x': 0.49002525, 'confidence': 0.03229824}","{'y': 0.99448365, 'x': 0.49499822, 'confidence': 0.03552921}",0
"{'y': -0.0014715451, 'x': 0.47237793, 'confidence': 0.016673535}","{'y': -0.00983066, 'x': 0.4666514, 'confidence': 0.0169028}","{'y': -0.0093110055, 'x': 0.50802267, 'confidence': 0.019830834}","{'y': 0.00726937, 'x': 0.41941348, 'confidence': 0.05130826}","{'y': 0.008731732, 'x': 0.66338915, 'confidence': 0.032277696}","{'y': 0.18738845, 'x': 0.31439283, 'confidence': 0.56376886}","{'y': 0.24085397, 'x': 0.64334476, 'confidence': 0.33819857}","{'y': 0.61759675, 'x': 0.24638796, 'confidence': 0.4520154}","{'y': 0.6897484, 'x': 0.7966146, 'confidence': 0.032345317}","{'y': 0.9400188, 'x': 0.2501553, 'confidence': 0.28289327}","{'y': 0.9580312, 'x': 0.7404528, 'confidence': 0.034320563}","{'y': 0.9508929, 'x': 0.37406784, 'confidence': 0.19498405}","{'y': 0.9560696, 'x': 0.58590126, 'confidence': 0.11571057}","{'y': 0.9561077, 'x': 0.2860309, 'confidence': 0.0762062}","{'y': 0.9689638, 'x': 0.48941228, 'confidence': 0.05942424}","{'y': 0.963723, 'x': 0.24939638, 'confidence': 0.042631153}","{'y': 0.9821293, 'x': 0.5363957, 'confidence': 0.055639777}",0
"{'y': 0.026715277, 'x': 0.5745993, 'confidence': 0.17946242}","{'y': 0.018662998, 'x': 0.54901797, 'confidence': 0.18196224}","{'y': 0.016220806, 'x': 0.60615087, 'confidence': 0.15319508}","{'y': 0.039267167, 'x': 0.50493604, 'confidence': 0.46038926}","{'y': 0.039929632, 'x': 0.6379917, 'confidence': 0.44407558}","{'y': 0.19957371, 'x': 0.39430076, 'confidence': 0.7068417}","{'y': 0.24322368, 'x': 0.73516244, 'confidence': 0.71375954}","{'y': 0.60922873, 'x': 0.3344024, 'confidence': 0.27007666}","{'y': 0.6480893, 'x': 0.73446786, 'confidence': 0.18599714}","{'y': 0.9663406, 'x': 0.34529844, 'confidence': 0.18123119}","{'y': 0.90241647, 'x': 0.6901022, 'confidence': 0.1001842}","{'y': 0.8558867, 'x': 0.40476912, 'confidence': 0.10260216}","{'y': 0.8547915, 'x': 0.63986146, 'confidence': 0.12469999}","{'y': 0.9687249, 'x': 0.36498174, 'confidence': 0.06548502}","{'y': 0.9565595, 'x': 0.6397203, 'confidence': 0.08980162}","{'y': 0.9840161, 'x': 0.34496424, 'confidence': 0.05046336}","{'y': 0.9786249, 'x': 0.6838107, 'confidence': 0.051452707}",0
"{'y': 0.0031815437, 'x': 0.51164854, 'confidence': 0.039454576}","{'y': 0.010639282, 'x': 0.47529447, 'confidence': 0.046581615}","{'y': 0.0026864514, 'x': 0.53570706, 'confidence': 0.044234287}","{'y': 0.020920089, 'x': 0.44934744, 'confidence': 0.098310776}","{'y': 0.01693967, 'x': 0.5793838, 'confidence': 0.14760336}","{'y': 0.24652201, 'x': 0.35644475, 'confidence': 0.37408608}","{'y': 0.17124653, 'x': 0.6955291, 'confidence': 0.57320666}","{'y': 0.6875504, 'x': 0.3211043, 'confidence': 0.08303757}","{'y': 0.6095843, 'x': 0.74722815, 'confidence': 0.36329573}","{'y': 0.97361964, 'x': 0.41595894, 'confidence': 0.08470999}","{'y': 0.9349384, 'x': 0.7672234, 'confidence': 0.4218991}","{'y': 0.95713574, 'x': 0.47049233, 'confidence': 0.29433414}","{'y': 0.9454967, 'x': 0.67405, 'confidence': 0.23241805}","{'y': 0.9157027, 'x': 0.48430866, 'confidence': 0.05867501}","{'y': 0.92762804, 'x': 0.7215946, 'confidence': 0.05935275}","{'y': 0.98769397, 'x': 0.41776234, 'confidence': 0.044747766}","{'y': 0.9791564, 'x': 0.7600402, 'confidence': 0.021751951}",0
"{'y': 0.014986519, 'x': 0.42298964, 'confidence': 0.13233021}","{'y': 0.011750001, 'x': 0.3931119, 'confidence': 0.1360847}","{'y': 0.0005333167, 'x': 0.44719246, 'confidence': 0.117722236}","{'y': 0.034194577, 'x': 0.36059317, 'confidence': 0.45407307}","{'y': 0.022382326, 'x': 0.49133042, 'confidence': 0.46224385}","{'y': 0.23350619, 'x': 0.27226812, 'confidence': 0.526533}","{'y': 0.19236584, 'x': 0.60241824, 'confidence': 0.5693592}","{'y': 0.6739523, 'x': 0.26030463, 'confidence': 0.20000651}","{'y': 0.5727545, 'x': 0.66290367, 'confidence': 0.2842418}","{'y': 0.91065484, 'x': 0.30740923, 'confidence': 0.071289115}","{'y': 0.9389794, 'x': 0.6377364, 'confidence': 0.12098242}","{'y': 0.9102995, 'x': 0.3708058, 'confidence': 0.10312593}","{'y': 0.8794242, 'x': 0.5839167, 'confidence': 0.18394306}","{'y': 0.9237658, 'x': 0.3863973, 'confidence': 0.08185599}","{'y': 0.95855576, 'x': 0.60687256, 'confidence': 0.079045184}","{'y': 0.9838994, 'x': 0.36461288, 'confidence': 0.03731933}","{'y': 0.97711605, 'x': 0.640736, 'confidence': 0.047164448}",0
"{'y': 0.009816275, 'x': 0.4635806, 'confidence': 0.09800436}","{'y': 0.004863183, 'x': 0.43059027, 'confidence': 0.066489816}","{'y': -0.008345138, 'x': 0.4957078, 'confidence': 0.06299392}","{'y': 0.01692963, 'x': 0.38235712, 'confidence': 0.16048327}","{'y': 0.018510124, 'x': 0.5276249, 'confidence': 0.21079113}","{'y': 0.1960514, 'x': 0.29318655, 'confidence': 0.6498938}","{'y': 0.22226797, 'x': 0.6274455, 'confidence': 0.44117352}","{'y': 0.6300723, 'x': 0.24676591, 'confidence': 0.33434245}","{'y': 0.65636766, 'x': 0.6470495, 'confidence': 0.29650345}","{'y': 0.9610037, 'x': 0.2570049, 'confidence': 0.30524033}","{'y': 0.97086513, 'x': 0.6015394, 'confidence': 0.25128838}","{'y': 0.8969047, 'x': 0.35038534, 'confidence': 0.3412848}","{'y': 0.88526905, 'x': 0.5350366, 'confidence': 0.22085732}","{'y': 0.9661343, 'x': 0.31446546, 'confidence': 0.03545167}","{'y': 0.9720506, 'x': 0.54931396, 'confidence': 0.108693995}","{'y': 0.98571104, 'x': 0.25808126, 'confidence': 0.07857894}","{'y': 0.98558253, 'x': 0.60272926, 'confidence': 0.06396506}",0
"{'y': 0.22166808, 'x': 0.4290486, 'confidence': 0.1121166}","{'y': 0.20800984, 'x': 0.3547614, 'confidence': 0.13101304}","{'y': 0.20128353, 'x': 0.49533895, 'confidence': 0.12445591}","{'y': 0.2450036, 'x': 0.3018188, 'confidence': 0.4563457}","{'y': 0.23361047, 'x': 0.54071146, 'confidence': 0.5413017}","{'y': 0.5180316, 'x': 0.20198146, 'confidence': 0.6120356}","{'y': 0.46560505, 'x': 0.67424595, 'confidence': 0.48188186}","{'y': 0.822244, 'x': 0.21341628, 'confidence': 0.37802944}","{'y': 0.74813074, 'x': 0.7433367, 'confidence': 0.45279625}","{'y': 0.98019856, 'x': 0.24259803, 'confidence': 0.23886162}","{'y': 0.96631634, 'x': 0.75024325, 'confidence': 0.5296105}","{'y': 0.9692772, 'x': 0.38499084, 'confidence': 0.4080855}","{'y': 0.9398071, 'x': 0.63406557, 'confidence': 0.43134254}","{'y': 0.9765908, 'x': 0.35891652, 'confidence': 0.0378657}","{'y': 0.96512026, 'x': 0.7584129, 'confidence': 0.038787365}","{'y': 0.9844708, 'x': 0.2554707, 'confidence': 0.069342844}","{'y': 0.9890204, 'x': 0.7557101, 'confidence': 0.06836378}",0
"{'y': 0.20234542, 'x': 0.48985067, 'confidence': 0.12685655}","{'y': 0.19394735, 'x': 0.43343875, 'confidence': 0.15985967}","{'y': 0.17963435, 'x': 0.5578958, 'confidence': 0.10652653}","{'y': 0.2389377, 'x': 0.39349392, 'confidence': 0.41444075}","{'y': 0.21160902, 'x': 0.63511676, 'confidence': 0.6108099}","{'y': 0.4772927, 'x': 0.33204386, 'confidence': 0.6503591}","{'y': 0.46419224, 'x': 0.7916373, 'confidence': 0.5766884}","{'y': 0.790483, 'x': 0.2873731, 'confidence': 0.31837925}","{'y': 0.71972615, 'x': 0.8423212, 'confidence': 0.4207578}","{'y': 0.97271043, 'x': 0.31242484, 'confidence': 0.27069905}","{'y': 0.9426542, 'x': 0.84774965, 'confidence': 0.5458717}","{'y': 0.9485857, 'x': 0.4652121, 'confidence': 0.48168668}","{'y': 0.9590659, 'x': 0.7013614, 'confidence': 0.3464785}","{'y': 0.92946243, 'x': 0.33594647, 'confidence': 0.05924651}","{'y': 0.9649331, 'x': 0.83827776, 'confidence': 0.1474378}","{'y': 0.98028994, 'x': 0.45515144, 'confidence': 0.019879831}","{'y': 0.9515346, 'x': 0.84599274, 'confidence': 0.13886786}",0
"{'y': 0.20405686, 'x': 0.43048257, 'confidence': 0.116277255}","{'y': 0.1929761, 'x': 0.37700918, 'confidence': 0.13177758}","{'y': 0.18731876, 'x': 0.4939831, 'confidence': 0.12130512}","{'y': 0.23385629, 'x': 0.31671214, 'confidence': 0.5055007}","{'y': 0.2285085, 'x': 0.5579832, 'confidence': 0.5175296}","{'y': 0.5051852, 'x': 0.20861107, 'confidence': 0.54562473}","{'y': 0.46941218, 'x': 0.68122864, 'confidence': 0.77415}","{'y': 0.7978723, 'x': 0.20294525, 'confidence': 0.5277752}","{'y': 0.7643383, 'x': 0.73128766, 'confidence': 0.5905325}","{'y': 0.96895915, 'x': 0.21463916, 'confidence': 0.32196042}","{'y': 0.9743431, 'x': 0.7315895, 'confidence': 0.62554586}","{'y': 0.9695688, 'x': 0.36869156, 'confidence': 0.42005837}","{'y': 0.9455544, 'x': 0.6179515, 'confidence': 0.44686872}","{'y': 0.9734696, 'x': 0.21869649, 'confidence': 0.09766704}","{'y': 0.96552, 'x': 0.72424966, 'confidence': 0.037993465}","{'y': 0.9856433, 'x': 0.22420596, 'confidence': 0.10811332}","{'y': 0.9881358, 'x': 0.735738, 'confidence': 0.07553961}",0
"{'y': 0.17999294, 'x': 0.45065027, 'confidence': 0.10126728}","{'y': 0.16405271, 'x': 0.39822274, 'confidence': 0.12955283}","{'y': 0.18100213, 'x': 0.5154317, 'confidence': 0.11294904}","{'y': 0.20963459, 'x': 0.33931223, 'confidence': 0.50244665}","{'y': 0.23311812, 'x': 0.57958645, 'confidence': 0.5164356}","{'y': 0.4791204, 'x': 0.18778645, 'confidence': 0.69603944}","{'y': 0.48495823, 'x': 0.6763702, 'confidence': 0.55712396}","{'y': 0.75911033, 'x': 0.17580426, 'confidence': 0.48127285}","{'y': 0.7884567, 'x': 0.71080273, 'confidence': 0.457548}","{'y': 0.9623466, 'x': 0.16854711, 'confidence': 0.3831498}","{'y': 0.9673811, 'x': 0.71134824, 'confidence': 0.40889186}","{'y': 0.9686612, 'x': 0.3253098, 'confidence': 0.41125348}","{'y': 0.9396496, 'x': 0.57432693, 'confidence': 0.40635687}","{'y': 0.9709569, 'x': 0.19674249, 'confidence': 0.10000171}","{'y': 0.94252664, 'x': 0.70205426, 'confidence': 0.06990036}","{'y': 0.980333, 'x': 0.17555682, 'confidence': 0.13846307}","{'y': 0.98742956, 'x': 0.6958566, 'confidence': 0.046153754}",0
"{'y': 0.18584773, 'x': 0.4360247, 'confidence': 0.12662543}","{'y': 0.16962013, 'x': 0.39440486, 'confidence': 0.12589362}","{'y': 0.17820102, 'x': 0.5081965, 'confidence': 0.120550655}","{'y': 0.21213473, 'x': 0.33366457, 'confidence': 0.44363642}","{'y': 0.22344927, 'x': 0.5691079, 'confidence': 0.3458321}","{'y': 0.49568582, 'x': 0.19802934, 'confidence': 0.47205907}","{'y': 0.48147348, 'x': 0.6783866, 'confidence': 0.5784105}","{'y': 0.8016799, 'x': 0.19081372, 'confidence': 0.33280942}","{'y': 0.7866526, 'x': 0.7205887, 'confidence': 0.43004093}","{'y': 0.9648806, 'x': 0.20660874, 'confidence': 0.35937443}","{'y': 0.97903943, 'x': 0.7092696, 'confidence': 0.30061394}","{'y': 0.96682113, 'x': 0.33396646, 'confidence': 0.30001947}","{'y': 0.9406582, 'x': 0.5871609, 'confidence': 0.47450688}","{'y': 0.9703068, 'x': 0.21325755, 'confidence': 0.111339465}","{'y': 0.93732977, 'x': 0.70626223, 'confidence': 0.07834201}","{'y': 0.98542744, 'x': 0.20263395, 'confidence': 0.123915754}","{'y': 0.9894377, 'x': 0.70850784, 'confidence': 0.04846223}",0
"{'y': 0.013454811, 'x': 0.26811224, 'confidence': 0.20242544}","{'y': 0.0026912673, 'x': 0.26185358, 'confidence': 0.12818386}","{'y': 0.008453724, 'x': 0.27006114, 'confidence': 0.18351685}","{'y': 0.011854548, 'x': 0.1602931, 'confidence': 0.30907178}","{'y': 0.021193365, 'x': 0.27503157, 'confidence': 0.30665013}","{'y': 0.18020833, 'x': 0.27716658, 'confidence': 0.17018352}","{'y': 0.20658451, 'x': 0.35083136, 'confidence': 0.5677561}","{'y': 0.52308047, 'x': 0.34466362, 'confidence': 0.036640823}","{'y': 0.56639475, 'x': 0.37144732, 'confidence': 0.25383204}","{'y': 0.65996754, 'x': 0.3859882, 'confidence': 0.047541317}","{'y': 0.7556054, 'x': 0.35149273, 'confidence': 0.13658454}","{'y': 0.8606399, 'x': 0.30437654, 'confidence': 0.08738855}","{'y': 0.8599835, 'x': 0.28903747, 'confidence': 0.24980126}","{'y': 0.953655, 'x': 0.32287818, 'confidence': 0.05258086}","{'y': 0.9658508, 'x': 0.3023359, 'confidence': 0.10462047}","{'y': 0.98220485, 'x': 0.3361932, 'confidence': 0.06622826}","{'y': 0.97873443, 'x': 0.350353, 'confidence': 0.07352413}",0
"{'y': 0.031335, 'x': 0.44204992, 'confidence': 0.04048434}","{'y': 0.021823412, 'x': 0.44443384, 'confidence': 0.033952665}","{'y': 0.029970914, 'x': 0.39559206, 'confidence': 0.043666665}","{'y': 0.02295357, 'x': 0.27471948, 'confidence': 0.07630589}","{'y': 0.027684938, 'x': 0.2621686, 'confidence': 0.06426251}","{'y': 0.14995115, 'x': 0.6843585, 'confidence': 0.045417443}","{'y': 0.27148715, 'x': 0.27558687, 'confidence': 0.26057345}","{'y': 0.68526715, 'x': 0.37641156, 'confidence': 0.19125997}","{'y': 0.68019986, 'x': 0.3636891, 'confidence': 0.10769001}","{'y': 0.9558036, 'x': 0.40426785, 'confidence': 0.09206988}","{'y': 0.8904125, 'x': 0.28063464, 'confidence': 0.044682037}","{'y': 0.9740919, 'x': 0.67601514, 'confidence': 0.09969029}","{'y': 0.9658663, 'x': 0.3630017, 'confidence': 0.09105648}","{'y': 0.9714453, 'x': 0.53325814, 'confidence': 0.023230623}","{'y': 0.975509, 'x': 0.27222523, 'confidence': 0.03061073}","{'y': 0.98555666, 'x': 0.03912753, 'confidence': 0.048175544}","{'y': 0.9961197, 'x': 0.3722753, 'confidence': 0.026334373}",0
"{'y': 0.101096936, 'x': 0.63367176, 'confidence': 0.039699297}","{'y': 0.022472877, 'x': 0.67199993, 'confidence': 0.06239081}","{'y': 0.03634467, 'x': 0.60525715, 'confidence': 0.055682197}","{'y': 0.02611802, 'x': 0.70889485, 'confidence': 0.08848716}","{'y': 0.026430506, 'x': 0.5497612, 'confidence': 0.06820813}","{'y': 0.2799775, 'x': 0.68568826, 'confidence': 0.39986855}","{'y': 0.1942643, 'x': 0.53778505, 'confidence': 0.060005177}","{'y': 0.73072106, 'x': 0.61819327, 'confidence': 0.38477343}","{'y': 0.6512146, 'x': 0.54346126, 'confidence': 0.067001946}","{'y': 0.8099293, 'x': 0.62353265, 'confidence': 0.049224064}","{'y': 0.97903335, 'x': 0.5738702, 'confidence': 0.11374295}","{'y': 0.9124983, 'x': 0.71258605, 'confidence': 0.3785461}","{'y': 0.93862724, 'x': 0.4795808, 'confidence': 0.12781629}","{'y': 0.9340477, 'x': 0.43426108, 'confidence': 0.016688457}","{'y': 0.9774834, 'x': 0.41243947, 'confidence': 0.024930166}","{'y': 1.0045335, 'x': 0.2919878, 'confidence': 0.016789433}","{'y': 0.97874266, 'x': 0.8435474, 'confidence': 0.05918503}",0
"{'y': 0.016853308, 'x': 0.25042793, 'confidence': 0.11296509}","{'y': 0.020074764, 'x': 0.42856, 'confidence': 0.034313112}","{'y': 0.01756885, 'x': 0.3604937, 'confidence': 0.047252167}","{'y': 0.028130978, 'x': 0.47322944, 'confidence': 0.050805848}","{'y': 0.02752009, 'x': 0.2291051, 'confidence': 0.1980554}","{'y': 0.2837414, 'x': 0.29144612, 'confidence': 0.47462162}","{'y': 0.2892738, 'x': 0.29983163, 'confidence': 0.443796}","{'y': 0.67488456, 'x': 0.37749287, 'confidence': 0.36617035}","{'y': 0.6704459, 'x': 0.372528, 'confidence': 0.176655}","{'y': 0.9558165, 'x': 0.40706825, 'confidence': 0.108557194}","{'y': 0.874015, 'x': 0.3363219, 'confidence': 0.046210993}","{'y': 0.95589435, 'x': 0.5615483, 'confidence': 0.092246175}","{'y': 0.9474516, 'x': 0.35405093, 'confidence': 0.070686534}","{'y': 0.9710662, 'x': 0.49776852, 'confidence': 0.014783867}","{'y': 0.9906613, 'x': 0.43523192, 'confidence': 0.012536512}","{'y': 0.98443824, 'x': 0.37419876, 'confidence': 0.023169536}","{'y': 1.0007516, 'x': 0.63247687, 'confidence': 0.03265036}",0
